index,recipe_title,recipe_description,recipe_image,recipe_image_alt_text,recipe_author,recipe_category,recipe_cuisine,recipe_note,recipe_tags,recipe_ingredients,recipe_directions
1,Gyoza,,,Gyoza,Ryan White,,,,,"  5 oz green cabbage,  2 green onion/scallion (0.5 oz, 15 g),  2 shiitake mushrooms,  ¾ lb ground pork,  2 cloves garlic,  1 tsp ginger (grated, with juice),  1 tsp sake,  1 tsp toasted sesame oil,  1 tsp soy sauce,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Sprinkle cabbage leaves with salt to dehydrate, then squeeze the water out. Discard the thick core of 5 oz green cabbage; mince the leaves into very small pieces.,Mince 2 green onion/scallion and 2 shiitake mushrooms into small pieces.,Combine the cabbage, green onions, shiitake mushrooms, and ¾ lb ground pork in a large bowl. Add minced garlic and grated ginger. ,Next, add the seasoning ingredients to the bowl: 1 tsp sake, 1 tsp toasted sesame oil, 1 tsp soy sauce, ¼ tsp Diamond Crystal kosher salt, and ⅛ tsp freshly ground black pepper.Mix well and knead the mixture with your hand until it becomes sticky and pale in color.,Prepare a small bowl of water. Open 1 package gyoza wrappers; make sure to cover them under a damp towel or plastic wrap so they don‘t dry out. Wrap gyoza. ,Can freeze these. Separate them on a pan until frozen. Combine into a bag (delicately). ,To cook (from thawed) - saute in 1 T oil until crust forms on bottom. Add 1/4 C water, cover and steam 10 min. "
2,Sweet Home Avocado Burger,,,Sweet Home Avocado Burger,Ryan White,,,,,"1 C lime jiuce,0.5 C honey,  salt,1 lb ground beef,  pepper,1 ea vilalia onion,3 ea Roma Tomatoes, seeded and chopped,1 ea bell pepper, chopped,0.5 C stevia leaves, chopped,4 ea &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Cook lime juice, honey, salt in saucepan on med heat until everything is disolved. Marinade beef in 3/4 C lime juice 1 hr. ,Drain beef and form 4 patties. Season with salt and pepper. Cook on high heat (as normal),Mix sevia leaves, onion, tomato, pepper in a bowl with a bit of oil and salt. ,Assemble burger - Bottom bun, burger, avocado slices, scoop of veggie mix, 1 T lime juice, top bun. ,,,"
3,Egg Souffle,,,Egg Souffle,Ryan White,,,,,"  2 tablespoons butter (organic unsalted grass-fed butter recommended),  2 tablespoons whole-wheat flour,  1 cup milk,  salt,  pepper,  5 eggs (local or organic pastured eggs recommended),  Optional Fillings (1 cup),  ham (diced),  prosciutto,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Preheat over to 400. 

Separate the eggs by placing the whites in a separate bowl from the yolks. Whisk the egg whites with a mixer on high speed until soft peaks form (pictured) and set aside.,Melt the butter in a small saucepan over medium heat. Once the foam has subsided, whisk in the whole-wheat flour (this is called making a “roux”). Keep whisking until the mixture begins to brown then turn the heat down to low and slowly add the milk while still whisking constantly so lumps do not form. Turn it back up to medium and continue whisking until the milk mixture begins to thicken, about 5 minutes.,Remove the pan from the heat and add 1/8 teaspoon salt and a pinch of pepper. Quickly whisk the egg yolks into the milk mixture without allowing them to cook.,Pour the milk/yolk mixture into the fluffy egg whites and using a rubber spatula carefully fold the two together without crushing the air out of the egg whites. Also add and mix in filling (like ham and/or cheese) if desired. Do not overmix.,Scoop the mixture into the prepared baking dish and bake until lightly brown on top, about 20 – 25 minutes. Serve immediately (otherwise the soufflé will “fall”). Enjoy!,,"
4,Scotch Eggs,,,Scotch Eggs,Ryan White,,,,,"6 ea large eggs,1 C all-purpose flour,1 C finely crushed corn flakes,7 oz fresh breakfast sausage, casings removed,  Vegetable oil (for frying),  Kosher salt, freshly ground pepper,  Mustard,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Place 4 eggs in a small saucepan; add cold water to cover. Bring to a boil; remove from heat, cover, and let stand for 3 minutes. Transfer eggs to an ice water bath. Gently crack shells and carefully peel under cold running water. Place eggs back in bowl of cold water; cover and chill until cold. ,Place flour in a wide shallow bowl and crushed corn flakes in another wide shallow bowl. Divide sausage into 4 equal portions. Pat 1 portion of sausage into a thin patty over the length of your palm. Lay 1 soft-boiled egg on top of sausage and wrap sausage around egg, sealing to completely enclose. Repeat with remaining sausage and eggs.,Whisk remaining 2 eggs in a medium bowl to blend. Working gently with 1 sausage-wrapped egg at a time, dip eggs into flour, shaking off excess, then coat in egg wash. Roll in corn flakes to coat.,Attach a deep-fry thermometer to side of a large heavy pot. Pour in oil to a depth of 2” and heat over medium heat to 375°. Fry eggs, turning occasionally and maintaining oil temperature of 350°, until sausage is cooked through and breading is golden brown and crisp, 5–6 minutes. Use a slotted spoon to transfer eggs to paper towels to drain. Season lightly with salt and pepper. Serve warm with mustard.,,,"
5,Baked Chicken Pesto Alfredo,,,Baked Chicken Pesto Alfredo,Ryan White,,,,,"  1 package penne pasta 16 ounces penne pasta,  2 cups chicken cubed, cooked,  2 cups Italian cheese blend 8 ounces shredded, divided,  3 cups fresh baby spinach fresh,  1 can crushed tomatoes 15 ounces,  1 jar pesto 8.1 ounces prepared,  ½ cup butter,  1 pint heavy whipping cream 2 cups,  4 ounces cream cheese,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Preheat oven to 350 degrees. Lightly spray a 9x13 inch pan with cooking spray and set aside. Cook the pasta in a large pot according to package directions. In a large bowl combine cooked chicken, 1 cup cheese, spinach, and tomatoes.,To make the alfredo sauce: In a medium saucepan add butter, heavy whipping cream, and cream cheese. Cook over medium heat and whisk until melted. Add the jar of pesto. Add the minced garlic, garlic powder, italian seasoning, salt and pepper. Continue to whisk until smooth. Add the grated parmesan cheese. Bring to a simmer and continue to cook for about 3-5 minutes or until it starts to thicken.,Drain the pasta and add alfredo sauce to the large bowl and toss with ingredients to coat. Pour into the prepared 9x13 inch pan. Add remaining cheese to the top of the casserole. In a small bowl, combine the bread crumbs, Parmesan cheese and oil. Sprinkle over casserole.,Cover with foil and bake for 30-40 minutes or until cooked throughout and bubbling on the sides.,,,"
6,Puerco Pibil,,,Puerco Pibil,Ryan White,,,,,"  5 Tbsp annatto seeds,  1 Tbsp black peppercorns,  1 tsp cloves,  2 tsp cumin seed,  8 allspice berries,  1/2 cup orange juice,  1/2 cup white vinegar,  5 lemons, juiced,  8 cloves of garlic,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""Corn tortillas","Toast annatto seeds, peppercorns, cloves, cumin, and allspice in a dry sauté pan for 3-5 minutes over medium heat, until fragrant.  Pour into a spice grinder and process into a fine powder, 2-3 minutes.,In a blender, combine orange juice, vinegar, lemon juice, garlic cloves, habanero peppers, salt, tequila, and ground spices.  Blend on high speed for 30-60 seconds, until well-combined.  Combine marinade and pork in a large plastic bag, massage until evenly coated, and allow to marinate for 30 minutes.,Preheat oven to 325°F.  Line a deep casserole dish with banana leaves, and pour pork into the center.  Wrap banana leaves around the pork, seal tightly with aluminum foil, and roast for 4 hours.,Serve with rice, lime wedges, and cilantro.,To serve with tacos: while pork roasts, combine red onion and mustard seeds in a large heatproof bowl, and cover with boiling apple cider vinegar.  Let steep for 30 minutes, and serve over tacos.,,"
7,Meal Prep Butter Chicken,,,Meal Prep Butter Chicken,Ryan White,,,,,"2 Tbsp Oil,1 ea Onion, diced,1 tsp ginger, minced,2 cloves garlic, minced,1.5 lbs boneless, skinless chicken breasts, cut into ¾-inch chunks,6 oz tomato paste,1 Tbsp garam masala,1 tsp paprika,1 tsp Fenugreek powder,1 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","To cook butter chicken:Heat a large skillet or medium saucepan over medium-high heat. Add the oil and onions and cook onions down until lightly golden, about 3-4 minutes. Add ginger and garlic and let cook for 30 seconds, stirring so it doesn’t burn. Add the chicken, tomato paste, and spices. Cook for 5-6 minutes or until everything is cooked through. Add the heavy cream and simmer for 8-10 minutes stirring occasionally.,To make naan: Combine the garlic, butter, cilantro and butter in a small bowl. Set aside. Divide pizza dough into 8 equal portions. Roll the dough into a small circle using a rolling-pin. Heat up a skillet (cast-iron preferred) over high heat and lightly grease the surface with some oil to avoid the dough from sticking to the skillet. Place the dough in the skillet. When it puffs up and bubbles and burnt spots appear, flip it over and spread with the garlic butter mixture. Cook until done. Repeat the same until all dough is done.,To cook rice: Wash rice until it runs clear then rinse. In a saucepan bring water to a boil. Add rice and stir. Reduce heat, cover and simmer for 15 minutes. Turn off heat and let stand for 5 minutes.,To Assemble: Measure 1 cup of cooked rice into each meal prep container. Pour about 1 cup of the butter chicken on the rice. Wrap a naan with foil or plastic wrap. To heat, microwave containers for 2 minutes or until steamy. Micwaorve naan for just 20 seconds.,,,"
8,Bacon,,,Bacon,Ryan White,,,,,"1 slab Pork Belly,0.25 tsp/lb Pink salt #1,0.25 C/lb Kosher Salt,0.25 C/lb Brown Sugar,0.25 tsp/lb ground coriander,0.25 tsp/lb onion powder,0.25 tsp/lb garlic powder,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Mix all dry ingredients in a container. ,Prepare pork belly - if there is any skin still on, start a slice just under the skin so you can get fingers around the flap. Turn it skin side on the counter, blade on the counter tiled into the skin a bit and pull (hard). Put skin aside for anther recipe. ,Trim any excessive fat pockets, put aside for another recipe. Place pork belly on a piece of butcher paper sized 3 times the size of your meat. ,Pack a fine layer of dry rub all over. Wrap tightly and tie. Wrap again  and place in a rimmed dish flat in the refirdgerator. 1 week. Flip on 3rd-4th day.,Last day, unwrap and rinse. Cold smoke 4-5 hrs. ,Store in refridgerator. ,"
9,Cube Steak & Potatoes,,,Cube Steak & Potatoes,Ryan White,,,,,"3 ea Cube Steak,1 packet onion soup mix,0.25 cup flour,8 oz finglerling or new potaotes,16 oz Campbell's Crème of Mushroom Soup Concentrate,8 oz green bean,4 Tbsp oil, to taste Tony Chachere's, to taste salt, to taste &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Mix onion soup mix and four in a bowl. Dredge cube steaks in flour mixture and set aside. ,Cut potatoes in 1/2 or 1/4 to bit sized pieces. Toss with 2T oil. Lightly add Tony Chachere's and pepper. Place on sheet ,While potaotes are roasting, heat pan over med-high heat. Sear cube steaks. 2 min each side, until browning. Add soup concentrate and 1/4 C water, mix well. Cover over med-low heat ~1 hr. ,Roast potatoes in 385 F oven ~35 min, until fork tender. ,,,"
10,Lasagna,,,Lasagna,Ryan White,,,,,"1 lb sweet Italian sausage,0.75 lb lean ground beef,0.5 C onion,2 cloves garlic,28 oz can crushed tomatoes,12 oz tomato paste,13 oz canned tomato sauce,0.5 C water,2 Tbsp white sugar,1.5 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""Parmesan cheese","In a Dutch oven, brown sausage, ground beef, onion, and garlic over medium heat (5),Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 tablespoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally.,Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water.,In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt.,Preheat oven to 375 degrees F (190 degrees C).,To assemble, layer the following in a 9x13 pan: 1 1/2 cups of sauce, 6 noodles lengthwise, half of the ricotta cheese, a third of mozzarella cheese slices,  1 1/2 cups meat sauce, 1/4 cup Parmesan cheese. Repeat above once. Spray a piece of AL foil with cooking spray and cover. ,(Optional: Freeze for later OR) Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving."
